// Initial random seed:
1796491954947

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, 0.5, "f", 0);
initializeGenomicElementType(1, c(m0, m1), c(0.8, 0.2));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 999 1 0
4002 997 3 0
4003 994 6 0
4004 993 7 0
4005 995 5 0
4006 995 5 0
4007 997 3 0
4008 996 4 0
4009 997 3 0
4010 989 11 0
4011 987 13 0
4012 990 10 0
4013 984 16 0
4014 982 18 0
4015 978 22 0
4016 978 21 1
4017 979 21 0
4018 978 22 0
4019 980 19 1
4020 984 16 0
4021 981 19 0
4022 984 16 0
4023 984 15 1
4024 986 14 0
4025 981 19 0
4026 985 15 0
4027 987 13 0
4028 982 18 0
4029 983 17 0
4030 984 16 0
4031 984 16 0
4032 980 20 0
4033 978 22 0
4034 979 21 0
4035 985 15 0
4036 985 14 1
4037 981 18 1
4038 984 15 1
4039 978 22 0
4040 985 15 0
4041 984 16 0
4042 984 16 0
4043 979 21 0
4044 978 22 0
4045 978 22 0
4046 974 25 1
4047 984 16 0
4048 987 13 0
4049 989 11 0
4050 990 10 0
4051 995 5 0
4052 997 3 0
4053 997 3 0
4054 997 3 0
4055 997 3 0
4056 999 1 0
4057 1000 0 0
