// Initial random seed:
1699555758573

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, -0.5, "f", -0.05);
initializeGenomicElementType(1, c(m0, m1), c(0.8, 0.2));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 998 2 0
4002 997 3 0
4003 998 2 0
4004 998 1 1
4005 995 5 0
4006 998 2 0
4007 998 2 0
4008 998 2 0
4009 997 3 0
4010 992 8 0
4011 993 7 0
4012 987 13 0
4013 989 11 0
4014 986 14 0
4015 989 11 0
4016 989 11 0
4017 991 9 0
4018 995 5 0
4019 994 6 0
4020 993 7 0
4021 992 8 0
4022 991 9 0
4023 987 13 0
4024 984 16 0
4025 981 19 0
4026 976 24 0
4027 971 29 0
4028 968 31 1
4029 963 36 1
4030 966 34 0
4031 969 30 1
4032 964 35 1
4033 959 41 0
4034 949 50 1
4035 947 53 0
4036 945 52 3
4037 946 53 1
4038 943 57 0
4039 942 58 0
4040 948 52 0
4041 947 51 2
4042 951 49 0
4043 956 44 0
4044 960 40 0
4045 954 46 0
4046 947 53 0
4047 944 56 0
4048 934 66 0
4049 928 69 3
4050 931 68 1
4051 931 69 0
4052 922 75 3
4053 907 93 0
4054 908 91 1
4055 917 81 2
4056 912 84 4
4057 902 97 1
4058 887 111 2
4059 882 116 2
4060 882 115 3
4061 867 129 4
4062 890 107 3
4063 883 115 2
4064 885 114 1
4065 894 102 4
4066 882 115 3
4067 870 126 4
4068 860 136 4
4069 848 149 3
4070 833 162 5
4071 842 149 9
4072 846 148 6
4073 838 154 8
4074 856 138 6
4075 868 125 7
4076 874 121 5
4077 861 134 5
4078 871 125 4
4079 865 130 5
4080 858 137 5
4081 861 132 7
4082 873 121 6
4083 889 110 1
4084 886 111 3
4085 884 107 9
4086 883 112 5
4087 888 103 9
4088 876 120 4
4089 857 137 6
4090 852 140 8
4091 876 121 3
4092 877 121 2
4093 881 116 3
4094 884 114 2
4095 880 116 4
4096 883 109 8
4097 886 110 4
4098 872 123 5
4099 878 122 0
4100 881 115 4
4101 862 131 7
4102 852 142 6
4103 844 147 9
4104 842 147 11
4105 811 180 9
4106 840 153 7
4107 836 156 8
4108 830 164 6
4109 849 145 6
4110 848 140 12
4111 852 143 5
4112 851 142 7
4113 832 162 6
4114 835 159 6
4115 830 159 11
4116 827 164 9
4117 845 148 7
4118 847 145 8
4119 847 145 8
4120 861 135 4
4121 860 137 3
4122 853 137 10
4123 844 147 9
4124 839 154 7
4125 831 164 5
4126 840 153 7
4127 838 154 8
4128 817 176 7
4129 812 177 11
4130 812 176 12
4131 811 179 10
4132 812 182 6
4133 810 182 8
4134 807 187 6
4135 826 162 12
4136 831 159 10
4137 839 157 4
4138 843 154 3
4139 832 160 8
4140 832 157 11
4141 824 167 9
4142 818 170 12
