// Initial random seed:
1684195792341

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, -0.5, "f", -0.05);
initializeGenomicElementType(1, c(m0, m1), c(0, 1));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 999 1 0
4002 999 1 0
4003 998 2 0
4004 998 2 0
4005 999 1 0
4006 998 2 0
4007 998 2 0
4008 998 2 0
4009 997 3 0
4010 998 2 0
4011 995 5 0
4012 996 4 0
4013 996 4 0
4014 994 6 0
4015 996 4 0
4016 994 6 0
4017 993 7 0
4018 993 7 0
4019 988 12 0
4020 990 10 0
4021 989 11 0
4022 990 10 0
4023 992 8 0
4024 993 7 0
4025 991 9 0
4026 992 8 0
4027 990 10 0
4028 990 10 0
4029 991 9 0
4030 987 13 0
4031 988 12 0
4032 991 9 0
4033 994 6 0
4034 993 7 0
4035 990 10 0
4036 992 8 0
4037 995 5 0
4038 996 4 0
4039 994 6 0
4040 992 8 0
4041 993 7 0
4042 994 6 0
4043 991 9 0
4044 993 7 0
4045 995 5 0
4046 995 5 0
4047 995 5 0
4048 998 2 0
4049 999 1 0
4050 998 2 0
4051 999 1 0
4052 1000 0 0
