// Initial random seed:
1792191966284

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, -0.5, "f", -0.05);
initializeGenomicElementType(1, c(m0, m1), c(0.8, 0.2));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 996 4 0
4002 997 3 0
4003 997 3 0
4004 998 2 0
4005 998 2 0
4006 997 3 0
4007 996 4 0
4008 996 4 0
4009 995 5 0
4010 996 4 0
4011 993 7 0
4012 992 8 0
4013 997 3 0
4014 996 4 0
4015 999 1 0
4016 997 3 0
4017 996 4 0
4018 994 6 0
4019 993 7 0
4020 992 8 0
4021 993 7 0
4022 995 5 0
4023 991 9 0
4024 992 8 0
4025 994 6 0
4026 990 10 0
4027 988 12 0
4028 987 13 0
4029 986 14 0
4030 986 14 0
4031 987 13 0
4032 991 9 0
4033 994 6 0
4034 992 8 0
4035 996 4 0
4036 994 6 0
4037 994 6 0
4038 987 13 0
4039 991 9 0
4040 987 13 0
4041 988 12 0
4042 980 20 0
4043 987 13 0
4044 981 19 0
4045 978 21 1
4046 970 30 0
4047 964 36 0
4048 967 33 0
4049 956 44 0
4050 974 26 0
4051 977 23 0
4052 969 31 0
4053 967 33 0
4054 968 32 0
4055 960 39 1
4056 951 48 1
4057 955 45 0
4058 958 39 3
4059 947 51 2
4060 939 60 1
4061 932 68 0
4062 920 79 1
4063 903 96 1
4064 914 84 2
4065 902 97 1
4066 913 86 1
4067 931 63 6
4068 937 62 1
4069 931 67 2
4070 932 67 1
4071 938 61 1
4072 934 66 0
4073 926 74 0
4074 914 84 2
4075 920 80 0
4076 914 81 5
4077 915 82 3
4078 913 86 1
4079 902 94 4
4080 889 106 5
4081 894 101 5
4082 887 112 1
4083 906 92 2
4084 901 96 3
4085 897 98 5
4086 896 102 2
4087 913 86 1
4088 917 79 4
4089 910 89 1
4090 916 84 0
4091 912 88 0
4092 925 73 2
4093 907 90 3
4094 894 103 3
4095 886 107 7
4096 876 120 4
4097 877 120 3
4098 875 121 4
4099 867 130 3
4100 881 114 5
4101 890 103 7
4102 901 96 3
4103 899 100 1
4104 892 107 1
4105 894 102 4
4106 887 111 2
4107 883 110 7
4108 881 113 6
4109 882 116 2
4110 860 133 7
4111 857 138 5
4112 853 142 5
4113 841 155 4
4114 826 168 6
4115 831 164 5
4116 852 142 6
4117 856 141 3
4118 839 156 5
4119 845 146 9
4120 834 159 7
4121 843 148 9
4122 817 172 11
4123 816 181 3
4124 821 167 12
4125 809 185 6
4126 804 186 10
4127 800 184 16
4128 786 197 17
4129 793 200 7
4130 794 199 7
4131 782 207 11
4132 761 224 15
4133 780 206 14
4134 776 213 11
4135 774 214 12
4136 768 218 14
4137 768 215 17
4138 770 210 20
4139 754 227 19
4140 758 223 19
4141 755 233 12
4142 748 242 10
