// Initial random seed:
1792291988405

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, -0.5, "f", -0.05);
initializeGenomicElementType(1, c(m0, m1), c(0, 1));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 997 3 0
4002 993 7 0
4003 990 10 0
4004 991 9 0
4005 988 12 0
4006 982 18 0
4007 979 21 0
4008 971 29 0
4009 968 32 0
4010 967 33 0
4011 966 34 0
4012 958 41 1
4013 962 38 0
4014 953 47 0
4015 953 47 0
4016 956 44 0
4017 964 36 0
4018 955 45 0
4019 950 50 0
4020 938 60 2
4021 936 64 0
4022 938 61 1
4023 934 66 0
4024 930 67 3
4025 914 84 2
4026 910 90 0
4027 907 92 1
4028 902 96 2
4029 911 88 1
4030 923 73 4
4031 919 77 4
4032 912 83 5
4033 907 92 1
4034 897 101 2
4035 882 116 2
4036 881 113 6
4037 860 133 7
4038 858 135 7
4039 855 140 5
4040 853 139 8
4041 884 110 6
4042 863 132 5
4043 874 122 4
4044 887 107 6
4045 879 119 2
4046 876 117 7
4047 864 133 3
4048 892 102 6
4049 903 92 5
4050 906 93 1
4051 928 72 0
4052 919 79 2
4053 922 77 1
4054 931 67 2
4055 919 80 1
4056 911 88 1
4057 904 94 2
4058 918 80 2
4059 910 88 2
4060 917 82 1
4061 924 76 0
4062 922 77 1
4063 931 67 2
4064 927 71 2
4065 934 65 1
4066 925 74 1
4067 931 69 0
4068 933 67 0
4069 940 58 2
4070 944 55 1
4071 948 52 0
4072 941 59 0
4073 932 68 0
4074 936 62 2
4075 927 71 2
4076 935 62 3
4077 927 71 2
4078 932 66 2
4079 923 75 2
4080 921 78 1
4081 919 79 2
4082 906 90 4
4083 913 85 2
4084 912 86 2
4085 911 86 3
4086 912 87 1
4087 912 85 3
4088 907 93 0
4089 913 86 1
4090 929 70 1
4091 934 65 1
4092 936 62 2
4093 935 61 4
4094 933 64 3
4095 929 68 3
4096 917 82 1
4097 932 66 2
4098 943 57 0
4099 957 43 0
4100 960 40 0
4101 955 44 1
4102 952 46 2
4103 946 53 1
4104 937 62 1
4105 945 53 2
4106 949 51 0
4107 949 51 0
4108 962 38 0
4109 966 34 0
4110 965 35 0
4111 968 32 0
4112 970 30 0
4113 981 19 0
4114 984 16 0
4115 982 18 0
4116 983 16 1
4117 987 13 0
4118 982 18 0
4119 980 20 0
4120 977 23 0
4121 978 22 0
4122 980 20 0
4123 979 21 0
4124 985 15 0
4125 986 14 0
4126 987 13 0
4127 984 16 0
4128 986 14 0
4129 993 7 0
4130 992 8 0
4131 992 8 0
4132 995 5 0
4133 993 7 0
4134 991 9 0
4135 990 10 0
4136 992 8 0
4137 991 9 0
4138 994 6 0
4139 995 5 0
4140 993 7 0
4141 990 10 0
4142 985 15 0
4143 978 22 0
4144 980 20 0
4145 987 13 0
4146 989 11 0
4147 992 8 0
4148 991 9 0
4149 994 6 0
4150 995 5 0
4151 994 6 0
4152 993 7 0
4153 991 9 0
4154 988 12 0
4155 988 12 0
4156 984 16 0
4157 981 19 0
4158 974 26 0
4159 971 28 1
4160 964 35 1
4161 968 32 0
4162 971 29 0
4163 971 29 0
4164 957 43 0
4165 958 40 2
4166 953 46 1
4167 955 42 3
4168 961 37 2
4169 966 34 0
4170 959 41 0
4171 962 38 0
4172 958 42 0
4173 956 44 0
4174 945 54 1
4175 955 45 0
4176 959 41 0
4177 942 57 1
4178 957 43 0
4179 956 44 0
4180 938 62 0
4181 943 55 2
4182 950 46 4
4183 934 65 1
4184 928 72 0
4185 923 77 0
4186 920 79 1
4187 918 80 2
4188 910 89 1
4189 905 93 2
4190 917 79 4
4191 921 76 3
4192 912 86 2
4193 932 66 2
4194 942 58 0
4195 950 49 1
4196 959 39 2
4197 968 32 0
4198 972 28 0
4199 975 24 1
4200 973 27 0
4201 963 36 1
4202 967 33 0
4203 963 37 0
4204 966 33 1
4205 962 38 0
4206 962 38 0
4207 969 31 0
4208 978 21 1
4209 979 20 1
4210 985 15 0
4211 983 17 0
4212 980 20 0
4213 980 20 0
4214 984 16 0
4215 989 11 0
4216 991 8 1
4217 993 7 0
4218 993 7 0
4219 994 6 0
4220 997 3 0
4221 996 3 1
4222 993 7 0
4223 995 5 0
4224 993 7 0
4225 995 5 0
4226 994 6 0
4227 996 4 0
4228 996 4 0
4229 1000 0 0
