// Initial random seed:
1822855811040

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, 0.5, "f", 0);
initializeGenomicElementType(1, c(m0, m1), c(0.8, 0.2));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 998 2 0
4002 998 2 0
4003 998 2 0
4004 998 2 0
4005 999 1 0
4006 998 2 0
4007 994 6 0
4008 993 7 0
4009 990 10 0
4010 992 8 0
4011 986 14 0
4012 988 12 0
4013 987 13 0
4014 985 15 0
4015 984 16 0
4016 983 17 0
4017 978 22 0
4018 980 20 0
4019 977 23 0
4020 973 27 0
4021 971 29 0
4022 964 36 0
4023 969 31 0
4024 970 29 1
4025 965 35 0
4026 961 39 0
4027 959 40 1
4028 957 43 0
4029 973 27 0
4030 982 18 0
4031 983 17 0
4032 982 18 0
4033 984 16 0
4034 983 17 0
4035 988 12 0
4036 986 14 0
4037 987 13 0
4038 985 15 0
4039 992 8 0
4040 994 6 0
4041 998 2 0
4042 997 3 0
4043 999 1 0
4044 998 2 0
4045 999 1 0
4046 1000 0 0
