// Initial random seed:
1699615776751

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, 0.5, "f", 0);
initializeGenomicElementType(1, c(m0, m1), c(0.8, 0.2));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 995 5 0
4002 994 6 0
4003 997 3 0
4004 999 1 0
4005 999 1 0
4006 999 1 0
4007 998 2 0
4008 998 2 0
4009 991 9 0
4010 991 9 0
4011 990 10 0
4012 993 7 0
4013 995 5 0
4014 996 4 0
4015 995 5 0
4016 993 7 0
4017 996 4 0
4018 995 5 0
4019 995 5 0
4020 997 3 0
4021 997 3 0
4022 995 5 0
4023 996 4 0
4024 993 7 0
4025 990 10 0
4026 986 14 0
4027 985 15 0
4028 982 18 0
4029 980 20 0
4030 983 17 0
4031 982 18 0
4032 983 17 0
4033 992 8 0
4034 992 8 0
4035 994 6 0
4036 988 12 0
4037 987 13 0
4038 986 14 0
4039 989 11 0
4040 987 13 0
4041 988 12 0
4042 994 6 0
4043 990 10 0
4044 992 8 0
4045 991 9 0
4046 991 9 0
4047 993 7 0
4048 991 9 0
4049 990 10 0
4050 990 10 0
4051 990 10 0
4052 988 12 0
4053 991 9 0
4054 990 10 0
4055 988 12 0
4056 984 16 0
4057 986 14 0
4058 981 19 0
4059 988 12 0
4060 992 8 0
4061 991 9 0
4062 996 4 0
4063 995 5 0
4064 996 4 0
4065 994 6 0
4066 992 8 0
4067 991 9 0
4068 995 5 0
4069 995 5 0
4070 997 3 0
4071 992 8 0
4072 995 5 0
4073 993 7 0
4074 997 2 1
4075 997 3 0
4076 995 5 0
4077 998 2 0
4078 998 2 0
4079 998 2 0
4080 999 1 0
4081 1000 0 0
