// Initial random seed:
1688461941066

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, 0.5, "f", 0);
initializeGenomicElementType(1, c(m0, m1), c(1, 0));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 997 3 0
4002 996 4 0
4003 992 8 0
4004 990 10 0
4005 991 9 0
4006 990 10 0
4007 991 9 0
4008 993 7 0
4009 994 6 0
4010 997 3 0
4011 997 3 0
4012 997 3 0
4013 995 5 0
4014 997 3 0
4015 995 5 0
4016 995 5 0
4017 994 6 0
4018 992 8 0
4019 994 6 0
4020 992 8 0
4021 995 5 0
4022 991 9 0
4023 996 4 0
4024 996 4 0
4025 996 4 0
4026 998 2 0
4027 997 3 0
4028 994 6 0
4029 995 5 0
4030 991 9 0
4031 994 6 0
4032 993 7 0
4033 995 5 0
4034 998 2 0
4035 997 3 0
4036 992 8 0
4037 992 8 0
4038 989 11 0
4039 987 13 0
4040 985 14 1
4041 984 16 0
4042 987 13 0
4043 991 9 0
4044 990 10 0
4045 991 9 0
4046 994 6 0
4047 998 2 0
4048 1000 0 0
