// Initial random seed:
1791991914429

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, 0.5, "f", 0);
initializeGenomicElementType(1, c(m0, m1), c(1, 0));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 997 3 0
4002 997 3 0
4003 993 7 0
4004 996 4 0
4005 996 4 0
4006 997 3 0
4007 994 6 0
4008 997 3 0
4009 997 3 0
4010 995 5 0
4011 995 5 0
4012 994 6 0
4013 997 3 0
4014 995 5 0
4015 996 4 0
4016 998 2 0
4017 995 5 0
4018 994 6 0
4019 990 10 0
4020 989 11 0
4021 989 11 0
4022 988 12 0
4023 991 9 0
4024 992 8 0
4025 986 14 0
4026 985 15 0
4027 990 10 0
4028 990 10 0
4029 988 12 0
4030 986 14 0
4031 986 14 0
4032 991 9 0
4033 994 6 0
4034 994 6 0
4035 991 9 0
4036 990 10 0
4037 991 9 0
4038 994 6 0
4039 992 8 0
4040 994 6 0
4041 994 6 0
4042 994 6 0
4043 995 5 0
4044 995 5 0
4045 995 5 0
4046 997 3 0
4047 995 5 0
4048 998 2 0
4049 997 3 0
4050 997 3 0
4051 996 4 0
4052 996 4 0
4053 995 5 0
4054 991 9 0
4055 992 8 0
4056 996 4 0
4057 995 5 0
4058 994 6 0
4059 993 7 0
4060 996 4 0
4061 998 2 0
4062 998 2 0
4063 1000 0 0
