// Initial random seed:
1792602002744

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, 0.5, "f", 0);
initializeGenomicElementType(1, c(m0, m1), c(0, 1));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 999 1 0
4002 999 1 0
4003 999 1 0
4004 998 2 0
4005 999 1 0
4006 996 4 0
4007 992 8 0
4008 988 12 0
4009 982 18 0
4010 979 21 0
4011 981 19 0
4012 973 27 0
4013 976 24 0
4014 971 29 0
4015 977 22 1
4016 978 21 1
4017 987 13 0
4018 986 14 0
4019 984 16 0
4020 983 17 0
4021 980 19 1
4022 982 18 0
4023 986 13 1
4024 983 17 0
4025 980 20 0
4026 978 22 0
4027 969 31 0
4028 972 28 0
4029 967 32 1
4030 970 30 0
4031 960 40 0
4032 953 47 0
4033 954 45 1
4034 949 51 0
4035 945 54 1
4036 943 56 1
4037 949 51 0
4038 944 56 0
4039 944 56 0
4040 948 51 1
4041 945 55 0
4042 938 62 0
4043 935 65 0
4044 930 69 1
4045 937 61 2
4046 944 56 0
4047 942 56 2
4048 939 61 0
4049 936 62 2
4050 925 74 1
4051 914 84 2
4052 925 74 1
4053 927 72 1
4054 935 63 2
4055 930 68 2
4056 913 85 2
4057 927 73 0
4058 927 72 1
4059 933 65 2
4060 930 68 2
4061 925 73 2
4062 917 82 1
4063 917 81 2
4064 909 87 4
4065 907 90 3
4066 911 85 4
4067 904 93 3
4068 908 87 5
4069 904 93 3
4070 891 107 2
4071 907 90 3
4072 894 105 1
4073 896 98 6
4074 899 98 3
4075 913 83 4
4076 910 89 1
4077 922 78 0
4078 916 83 1
4079 917 77 6
4080 905 95 0
4081 917 82 1
4082 918 81 1
4083 930 70 0
4084 939 57 4
4085 932 68 0
4086 930 68 2
4087 922 78 0
4088 927 72 1
4089 933 66 1
4090 938 62 0
4091 947 53 0
4092 943 56 1
4093 937 63 0
4094 934 65 1
4095 934 64 2
4096 942 58 0
4097 952 48 0
4098 951 49 0
4099 956 43 1
4100 948 52 0
4101 936 62 2
4102 936 64 0
4103 921 79 0
4104 924 75 1
4105 930 67 3
4106 942 58 0
4107 936 63 1
4108 930 70 0
4109 932 66 2
4110 930 70 0
4111 937 63 0
4112 951 48 1
4113 947 52 1
4114 953 46 1
4115 966 34 0
4116 968 32 0
4117 964 36 0
4118 962 37 1
4119 952 48 0
4120 958 42 0
4121 965 35 0
4122 957 42 1
4123 952 48 0
4124 943 56 1
4125 948 49 3
4126 960 39 1
4127 973 27 0
4128 976 24 0
4129 968 31 1
4130 970 30 0
4131 979 21 0
4132 973 27 0
4133 973 26 1
4134 974 26 0
4135 968 32 0
4136 965 35 0
4137 970 30 0
4138 973 27 0
4139 977 23 0
4140 981 19 0
4141 989 11 0
4142 988 12 0
4143 984 16 0
4144 979 21 0
4145 979 21 0
4146 974 26 0
4147 972 28 0
4148 975 25 0
4149 973 27 0
4150 970 29 1
4151 972 28 0
4152 969 31 0
4153 969 31 0
4154 964 35 1
4155 968 31 1
4156 961 38 1
4157 961 38 1
4158 958 41 1
4159 960 39 1
4160 972 27 1
4161 971 29 0
4162 968 31 1
4163 973 27 0
4164 973 27 0
4165 965 35 0
4166 974 26 0
4167 974 26 0
4168 969 31 0
4169 981 19 0
4170 986 14 0
4171 987 13 0
4172 992 8 0
4173 991 9 0
4174 993 7 0
4175 996 4 0
4176 1000 0 0
