// Initial random seed:
1688762012916

// RunInitializeCallbacks():
initializeMutationRate(1e-07);
initializeMutationType(0, 0.5, "f", 0);
initializeMutationType(1, 0.5, "f", -0.02);
initializeMutationType(2, 0.5, "f", 0);
initializeGenomicElementType(1, c(m0, m1), c(0, 1));
initializeGenomicElement(g1, 0, 499999);
initializeRecombinationRate(1e-06, 499999);

// Starting run at generation <start>:
1 

generation NN NI II
4000 999 0 1
4001 998 2 0
4002 998 2 0
4003 997 3 0
4004 997 3 0
4005 994 6 0
4006 991 9 0
4007 992 8 0
4008 991 9 0
4009 994 6 0
4010 993 7 0
4011 990 10 0
4012 986 14 0
4013 979 21 0
4014 975 25 0
4015 978 22 0
4016 978 22 0
4017 975 24 1
4018 960 40 0
4019 958 42 0
4020 965 35 0
4021 961 39 0
4022 961 38 1
4023 950 48 2
4024 959 41 0
4025 950 50 0
4026 959 39 2
4027 958 42 0
4028 950 49 1
4029 940 59 1
4030 942 58 0
4031 952 48 0
4032 958 41 1
4033 938 62 0
4034 933 65 2
4035 930 67 3
4036 912 87 1
4037 882 114 4
4038 881 117 2
4039 859 137 4
4040 875 120 5
4041 865 134 1
4042 876 121 3
4043 860 135 5
4044 849 143 8
4045 835 159 6
4046 807 188 5
4047 803 182 15
4048 786 201 13
4049 790 193 17
4050 802 176 22
4051 783 206 11
4052 790 199 11
4053 774 208 18
4054 774 213 13
4055 796 188 16
4056 783 208 9
4057 796 188 16
4058 808 181 11
4059 799 191 10
4060 779 211 10
4061 806 180 14
4062 792 194 14
4063 783 199 18
4064 774 216 10
4065 754 234 12
4066 763 223 14
4067 770 216 14
4068 781 207 12
4069 775 218 7
4070 798 193 9
4071 799 192 9
4072 796 192 12
4073 786 198 16
4074 766 221 13
4075 771 211 18
4076 758 232 10
4077 776 211 13
4078 803 178 19
4079 807 185 8
4080 811 183 6
4081 793 197 10
4082 795 190 15
4083 805 181 14
4084 786 201 13
4085 775 209 16
4086 779 211 10
4087 777 207 16
4088 795 189 16
4089 796 194 10
4090 796 191 13
4091 777 212 11
4092 762 223 15
4093 757 227 16
4094 775 206 19
4095 774 218 8
4096 787 198 15
4097 793 194 13
4098 789 191 20
4099 782 208 10
4100 808 183 9
4101 824 170 6
4102 835 157 8
4103 822 172 6
4104 837 159 4
4105 835 158 7
4106 828 160 12
4107 839 155 6
4108 818 171 11
4109 813 175 12
4110 838 153 9
4111 856 137 7
4112 844 146 10
4113 832 161 7
4114 831 159 10
4115 839 155 6
4116 861 135 4
4117 847 148 5
4118 843 150 7
4119 824 170 6
4120 824 168 8
4121 817 175 8
4122 814 173 13
4123 816 172 12
4124 802 186 12
4125 792 201 7
4126 780 212 8
4127 775 208 17
4128 751 231 18
4129 752 232 16
4130 765 218 17
4131 759 236 5
4132 760 228 12
4133 750 225 25
4134 753 231 16
4135 741 243 16
4136 771 211 18
4137 755 233 12
4138 755 226 19
4139 765 216 19
4140 768 209 23
4141 738 241 21
4142 729 246 25
4143 726 254 20
4144 733 251 16
4145 744 230 26
4146 779 203 18
4147 770 210 20
4148 788 197 15
4149 813 175 12
4150 829 164 7
4151 804 190 6
4152 825 164 11
4153 810 180 10
4154 809 178 13
4155 819 174 7
4156 801 190 9
4157 787 204 9
4158 793 193 14
4159 799 185 16
4160 789 205 6
4161 803 183 14
4162 812 180 8
4163 818 172 10
4164 810 183 7
4165 810 177 13
4166 816 177 7
4167 819 169 12
4168 814 180 6
4169 827 167 6
4170 843 149 8
4171 822 171 7
4172 808 185 7
4173 820 171 9
4174 815 180 5
4175 834 156 10
4176 839 154 7
4177 829 166 5
4178 805 193 2
4179 818 173 9
4180 811 184 5
4181 830 155 15
4182 815 179 6
4183 818 173 9
4184 828 161 11
4185 825 168 7
4186 839 157 4
4187 826 167 7
4188 833 158 9
4189 836 155 9
4190 842 148 10
4191 827 165 8
4192 830 158 12
4193 825 164 11
4194 838 154 8
4195 843 147 10
4196 813 173 14
4197 797 195 8
4198 789 195 16
4199 768 221 11
4200 783 200 17
4201 798 194 8
4202 791 201 8
4203 815 181 4
4204 822 170 8
4205 827 166 7
4206 835 157 8
4207 832 159 9
4208 850 147 3
4209 833 154 13
4210 832 157 11
4211 828 166 6
4212 818 171 11
4213 787 204 9
4214 797 185 18
4215 792 195 13
4216 812 182 6
4217 823 166 11
4218 835 155 10
4219 817 173 10
4220 830 158 12
4221 844 150 6
4222 839 151 10
4223 828 166 6
4224 831 161 8
4225 840 159 1
4226 843 149 8
4227 838 156 6
4228 833 160 7
4229 836 155 9
4230 848 145 7
4231 835 155 10
4232 827 163 10
4233 835 154 11
4234 836 159 5
4235 855 140 5
4236 848 145 7
4237 870 121 9
4238 868 126 6
4239 852 148 0
4240 846 148 6
4241 840 147 13
4242 844 146 10
4243 843 155 2
4244 858 136 6
4245 859 137 4
4246 855 140 5
4247 844 149 7
4248 841 152 7
4249 839 153 8
4250 860 133 7
4251 863 133 4
4252 880 113 7
4253 874 124 2
4254 888 108 4
4255 874 122 4
4256 859 137 4
4257 853 141 6
4258 840 151 9
4259 842 152 6
4260 840 151 9
4261 846 148 6
4262 862 132 6
4263 873 117 10
4264 867 127 6
4265 864 133 3
4266 863 132 5
4267 864 134 2
4268 860 136 4
4269 864 131 5
4270 861 138 1
4271 861 135 4
4272 851 144 5
4273 867 127 6
4274 867 129 4
4275 866 132 2
4276 881 113 6
4277 858 138 4
4278 838 157 5
4279 853 146 1
4280 864 131 5
4281 871 121 8
4282 858 135 7
4283 873 120 7
4284 874 120 6
4285 877 118 5
4286 891 107 2
4287 885 111 4
4288 889 107 4
4289 875 123 2
4290 893 103 4
4291 875 122 3
4292 891 103 6
4293 880 117 3
4294 886 110 4
4295 887 111 2
4296 905 95 0
4297 905 93 2
4298 903 94 3
4299 898 99 3
4300 896 101 3
4301 890 104 6
4302 877 121 2
4303 891 101 8
4304 907 87 6
4305 910 88 2
4306 895 102 3
4307 887 104 9
4308 881 114 5
4309 865 133 2
4310 864 135 1
4311 858 136 6
4312 855 141 4
4313 862 134 4
4314 870 121 9
4315 858 136 6
4316 862 133 5
4317 863 132 5
4318 863 136 1
4319 864 128 8
4320 864 131 5
4321 858 140 2
4322 836 156 8
4323 854 141 5
4324 853 135 12
4325 860 130 10
4326 872 126 2
4327 872 122 6
4328 859 136 5
4329 833 158 9
4330 827 163 10
4331 820 168 12
4332 822 166 12
4333 822 170 8
4334 832 163 5
4335 836 155 9
4336 837 151 12
4337 823 174 3
4338 826 169 5
4339 839 151 10
4340 845 148 7
4341 841 154 5
4342 846 151 3
4343 860 137 3
4344 864 129 7
4345 872 125 3
4346 886 111 3
4347 911 88 1
4348 926 71 3
4349 910 88 2
4350 914 84 2
4351 920 78 2
4352 919 77 4
4353 934 65 1
4354 938 62 0
4355 952 48 0
4356 946 53 1
4357 942 58 0
4358 957 43 0
4359 960 40 0
4360 952 46 2
4361 953 47 0
4362 959 41 0
4363 952 46 2
4364 954 46 0
4365 959 41 0
4366 955 43 2
4367 956 43 1
4368 949 51 0
4369 949 49 2
4370 951 49 0
4371 947 53 0
4372 937 63 0
4373 920 78 2
4374 936 64 0
4375 935 65 0
4376 946 53 1
4377 938 62 0
4378 944 55 1
4379 941 59 0
4380 951 47 2
4381 948 51 1
4382 943 56 1
4383 941 58 1
4384 939 61 0
4385 939 60 1
4386 949 49 2
4387 951 48 1
4388 946 53 1
4389 937 63 0
4390 941 58 1
4391 944 55 1
4392 941 59 0
4393 947 53 0
4394 938 62 0
4395 940 60 0
4396 935 65 0
4397 933 66 1
4398 941 59 0
4399 939 61 0
4400 932 67 1
4401 924 76 0
4402 921 76 3
4403 926 72 2
4404 927 73 0
4405 905 93 2
4406 911 87 2
4407 916 79 5
4408 899 98 3
4409 905 93 2
4410 898 99 3
4411 896 102 2
4412 897 101 2
4413 888 109 3
4414 871 124 5
4415 876 121 3
4416 880 116 4
4417 872 122 6
4418 849 148 3
4419 867 129 4
4420 870 127 3
4421 885 105 10
4422 864 129 7
4423 867 128 5
4424 875 122 3
4425 882 110 8
4426 887 108 5
4427 886 111 3
4428 896 101 3
4429 893 105 2
4430 882 115 3
4431 891 100 9
4432 887 110 3
4433 901 98 1
4434 896 99 5
4435 890 108 2
4436 906 92 2
4437 902 98 0
4438 914 83 3
4439 902 95 3
4440 912 86 2
4441 919 80 1
4442 921 75 4
4443 925 74 1
4444 938 61 1
4445 949 50 1
4446 956 44 0
4447 947 53 0
4448 954 44 2
4449 963 36 1
4450 971 29 0
4451 976 24 0
4452 968 32 0
4453 979 21 0
4454 985 15 0
4455 984 16 0
4456 984 16 0
4457 984 16 0
4458 982 18 0
4459 975 25 0
4460 988 12 0
4461 992 8 0
4462 992 8 0
4463 994 6 0
4464 986 14 0
4465 986 14 0
4466 977 23 0
4467 977 23 0
4468 974 25 1
4469 974 26 0
4470 977 23 0
4471 979 21 0
4472 985 15 0
4473 987 13 0
4474 986 14 0
4475 979 21 0
4476 979 20 1
4477 974 26 0
4478 970 30 0
4479 974 26 0
4480 975 25 0
4481 965 35 0
4482 961 39 0
4483 957 43 0
4484 955 45 0
4485 953 46 1
4486 959 38 3
4487 959 40 1
4488 962 38 0
4489 956 44 0
4490 958 42 0
4491 963 37 0
4492 966 33 1
4493 963 36 1
4494 968 32 0
4495 961 39 0
4496 963 37 0
4497 965 34 1
4498 958 42 0
4499 945 55 0
4500 956 44 0
4501 956 44 0
4502 945 55 0
4503 943 57 0
4504 941 59 0
4505 944 55 1
4506 934 66 0
4507 941 58 1
4508 956 44 0
4509 948 52 0
4510 951 49 0
4511 959 39 2
4512 948 50 2
4513 951 49 0
4514 943 57 0
4515 955 44 1
4516 955 43 2
4517 955 45 0
4518 952 48 0
4519 958 42 0
4520 947 53 0
4521 949 50 1
4522 941 59 0
4523 954 46 0
4524 961 39 0
4525 967 33 0
4526 973 27 0
4527 973 27 0
4528 982 18 0
4529 977 23 0
4530 976 23 1
4531 973 27 0
4532 984 16 0
4533 985 15 0
4534 985 15 0
4535 983 17 0
4536 986 14 0
4537 990 10 0
4538 994 6 0
4539 988 12 0
4540 991 9 0
4541 992 8 0
4542 990 10 0
4543 984 16 0
4544 983 17 0
4545 985 15 0
4546 985 15 0
4547 985 14 1
4548 991 9 0
4549 997 3 0
4550 997 3 0
4551 999 1 0
4552 999 1 0
4553 1000 0 0
